test_run | INFO flwr 2024-06-03 11:24:39,699 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:39,731 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:39,731 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:39,731 | server.py:111 | [ROUND 40]
test_run | INFO flwr 2024-06-03 11:24:39,731 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:40,160 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:40,162 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:40,195 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:40,195 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:40,195 | server.py:111 | [ROUND 41]
test_run | INFO flwr 2024-06-03 11:24:40,196 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:40,625 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:40,627 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:40,662 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:40,663 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:40,663 | server.py:111 | [ROUND 42]
test_run | INFO flwr 2024-06-03 11:24:40,663 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:41,090 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:41,092 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:41,126 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:41,126 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:41,126 | server.py:111 | [ROUND 43]
test_run | INFO flwr 2024-06-03 11:24:41,126 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:41,549 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:41,551 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:41,585 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:41,585 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:41,585 | server.py:111 | [ROUND 44]
test_run | INFO flwr 2024-06-03 11:24:41,585 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:42,009 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:42,011 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:42,043 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:42,043 | server.py:110 | 
